SourceFile,unique_id.x,brand,Transect distance,run_num,seconds,start_dec,DateTimeOriginal,two,three,four
/Volumes/Untitled/DCIM/102RECNX/RCNX0027.JPG,PP-7,Reconyx,3,1,10,0,2022:08:04 21:58:15,,,
/Volumes/Untitled/DCIM/102RECNX/RCNX0027.JPG,PP-7,Reconyx,3,2,10,0,2022:08:04 21:58:30,,,
/Volumes/Untitled/DCIM/102RECNX/RCNX0027.JPG,PP-7,Reconyx,3,3,10,0,2022:08:04 21:58:45,,,
/Volumes/Untitled/DCIM/102RECNX/RCNX0027.JPG,PP-7,Reconyx,3,4,10,0,2022:08:04 21:59:00,,,
/Volumes/Untitled/DCIM/102RECNX/RCNX0027.JPG,PP-7,Reconyx,3,5,10,0,2022:08:04 21:59:15,,,
/Volumes/Untitled/DCIM/102RECNX/RCNX0027.JPG,PP-7,Reconyx,3,6,10,0,2022:08:04 21:59:30,,,
/Volumes/Untitled/DCIM/102RECNX/RCNX0027.JPG,PP-7,Reconyx,5,1,9,1,2022:08:04 21:59:52,2022:08:04 21:59:56,,
/Volumes/Untitled/DCIM/102RECNX/RCNX0033.JPG,PP-7,Reconyx,5,2,9,1,2022:08:04 22:00:08,2022:08:04 22:00:13,,
/Volumes/Untitled/DCIM/102RECNX/RCNX0039.JPG,PP-7,Reconyx,5,3,9,1,2022:08:04 22:00:25,2022:08:04 22:00:29,,
/Volumes/Untitled/DCIM/102RECNX/RCNX0048.JPG,PP-7,Reconyx,5,4,9,1,2022:08:04 22:00:45,2022:08:04 22:00:48,,
/Volumes/Untitled/DCIM/102RECNX/RCNX0054.JPG,PP-7,Reconyx,5,5,9,1,2022:08:04 22:01:00,2022:08:04 22:01:04,,
/Volumes/Untitled/DCIM/102RECNX/RCNX0060.JPG,PP-7,Reconyx,5,6,9,1,2022:08:04 22:01:16,2022:08:04 22:01:21,,
/Volumes/Untitled/DCIM/102RECNX/RCNX0066.JPG,PP-7,Reconyx,10,1,10,1,2022:08:04 22:01:44,2022:08:04 22:01:48,2022:08:04 22:01:50,
/Volumes/Untitled/DCIM/102RECNX/RCNX0066.JPG,PP-7,Reconyx,10,2,10,0,2022:08:04 22:02:00,,,
/Volumes/Untitled/DCIM/102RECNX/RCNX0084.JPG,PP-7,Reconyx,10,3,10,1,2022:08:04 22:02:24,2022:08:04 22:02:27,2022:08:04 22:02:29,
/Volumes/Untitled/DCIM/102RECNX/RCNX0093.JPG,PP-7,Reconyx,10,4,10,1,2022:08:04 22:02:40,2022:08:04 22:02:45,2022:08:04 22:02:47,
/Volumes/Untitled/DCIM/102RECNX/RCNX0102.JPG,PP-7,Reconyx,10,5,10,1,2022:08:04 22:02:59,2022:08:04 22:03:04,2022:08:04 22:03:06,
/Volumes/Untitled/DCIM/102RECNX/RCNX0111.JPG,PP-7,Reconyx,10,6,11,1,2022:08:04 22:03:17,2022:08:04 22:03:20,2022:08:04 22:03:23,
/Volumes/Untitled/DCIM/102RECNX/RCNX0120.JPG,PP-7,Reconyx,12,1,8,1,2022:08:04 22:03:53,2022:08:04 22:03:55,2022:08:04 22:03:57,
/Volumes/Untitled/DCIM/102RECNX/RCNX0120.JPG,PP-7,Reconyx,12,2,10,0,2022:08:04 22:04:15,,,
/Volumes/Untitled/DCIM/102RECNX/RCNX0120.JPG,PP-7,Reconyx,12,3,10,0,2022:08:04 22:04:30,,,
/Volumes/Untitled/DCIM/102RECNX/RCNX0141.JPG,PP-7,Reconyx,12,4,11,1,2022:08:04 22:04:50,2022:08:04 22:04:54,2022:08:04 22:04:56,2022:08:04 22:04:58
/Volumes/Untitled/DCIM/102RECNX/RCNX0141.JPG,PP-7,Reconyx,12,5,10,0,2022:08:04 22:05:10,,,
/Volumes/Untitled/DCIM/102RECNX/RCNX0159.JPG,PP-7,Reconyx,12,6,10,1,2022:08:04 22:05:32,2022:08:04 22:05:34,2022:08:04 22:05:37,
/Volumes/Untitled/DCIM/102RECNX/RCNX0159.JPG,PP-7,Reconyx,15,1,10,0,2022:08:04 22:05:45,,,
/Volumes/Untitled/DCIM/102RECNX/RCNX0159.JPG,PP-7,Reconyx,15,2,10,0,2022:08:04 22:06:00,,,
/Volumes/Untitled/DCIM/102RECNX/RCNX0159.JPG,PP-7,Reconyx,15,3,10,0,2022:08:04 22:06:15,,,
/Volumes/Untitled/DCIM/102RECNX/RCNX0159.JPG,PP-7,Reconyx,15,4,10,0,2022:08:04 22:06:30,,,
/Volumes/Untitled/DCIM/102RECNX/RCNX0159.JPG,PP-7,Reconyx,15,5,10,0,2022:08:04 22:06:45,,,
/Volumes/Untitled/DCIM/102RECNX/RCNX0159.JPG,PP-7,Reconyx,15,6,10,0,2022:08:04 22:07:00,,,
/Volumes/Untitled/DCIM/102RECNX/RCNX0159.JPG,PP-7,Reconyx,20,1,10,0,2022:08:04 22:07:15,,,
/Volumes/Untitled/DCIM/102RECNX/RCNX0159.JPG,PP-7,Reconyx,20,2,10,0,2022:08:04 22:07:30,,,
/Volumes/Untitled/DCIM/102RECNX/RCNX0159.JPG,PP-7,Reconyx,20,3,10,0,2022:08:04 22:07:45,,,
/Volumes/Untitled/DCIM/102RECNX/RCNX0159.JPG,PP-7,Reconyx,20,4,10,0,2022:08:04 22:08:00,,,
/Volumes/Untitled/DCIM/102RECNX/RCNX0159.JPG,PP-7,Reconyx,20,5,10,0,2022:08:04 22:08:15,,,
/Volumes/Untitled/DCIM/102RECNX/RCNX0159.JPG,PP-7,Reconyx,20,6,10,0,2022:08:04 22:08:30,,,
