Unique.ID,num_photos,sensitivity,Transect distance,Run distance,direction,start_time,Duration,Decection,velocity,name,value
WP-7,0,3,3,20,1,2022-02-09T18:30:39Z,9.5,1,2,d.2,2022-02-09T18:30:45Z
WP-7,0,3,3,20,2,2022-02-09T18:31:02Z,10.3,1,2,d.1,2022-02-09T18:31:07Z
WP-7,0,3,3,20,1,2022-02-09T18:31:28Z,10.5,1,2,d.1,2022-02-09T18:31:32Z
WP-7,0,3,3,20,1,2022-02-09T18:31:28Z,10.5,1,2,d.2,2022-02-09T18:31:33Z
WP-7,0,3,3,20,2,2022-02-09T18:31:50Z,9.1,1,2,d.1,2022-02-09T18:31:55Z
WP-7,0,3,5,20,1,2022-02-09T18:32:26Z,9.8,1,2,d.1,2022-02-09T18:32:30Z
WP-7,0,3,5,20,1,2022-02-09T18:32:26Z,9.8,1,2,d.2,2022-02-09T18:32:31Z
WP-7,0,3,5,20,2,2022-02-09T18:32:47Z,9.6,1,2,d.1,2022-02-09T18:32:52Z
WP-7,0,3,5,20,2,2022-02-09T18:32:47Z,9.6,1,2,d.2,2022-02-09T18:32:53Z
WP-7,0,3,5,20,1,2022-02-09T18:33:09Z,8.8,1,2,d.1,2022-02-09T18:33:14Z
WP-7,0,3,5,20,1,2022-02-09T18:33:09Z,8.8,1,2,d.2,2022-02-09T18:33:15Z
WP-7,0,3,5,20,2,2022-02-09T18:33:32Z,11.5,1,2,d.1,2022-02-09T18:33:37Z
WP-7,0,3,5,20,2,2022-02-09T18:33:32Z,11.5,1,2,d.2,2022-02-09T18:33:38Z
WP-7,0,3,5,20,2,2022-02-09T18:33:32Z,11.5,1,2,d.3,2022-02-09T18:33:39Z
WP-7,0,3,5,20,1,2022-02-09T18:33:57Z,11.5,1,2,d.1,2022-02-09T18:34:03Z
WP-7,0,3,5,20,1,2022-02-09T18:33:57Z,11.5,1,2,d.2,2022-02-09T18:34:04Z
WP-7,0,3,5,20,2,2022-02-09T18:34:26Z,8.3,1,2,d.1,2022-02-09T18:34:29Z
WP-7,0,3,5,20,2,2022-02-09T18:34:26Z,8.3,1,2,d.2,2022-02-09T18:34:30Z
WP-7,0,3,10,20,1,2022-02-09T18:35:08Z,7.4,1,3,d.1,2022-02-09T18:35:11Z
WP-7,0,3,10,20,1,2022-02-09T18:35:08Z,7.4,1,3,d.2,2022-02-09T18:35:13Z
WP-7,0,3,10,20,1,2022-02-09T18:35:08Z,7.4,1,3,d.3,2022-02-09T18:35:14Z
WP-7,0,3,10,20,2,2022-02-09T18:35:40Z,9.7,1,2,d.1,2022-02-09T18:35:44Z
WP-7,0,3,10,20,2,2022-02-09T18:35:40Z,9.7,1,2,d.2,2022-02-09T18:35:45Z
WP-7,0,3,10,20,2,2022-02-09T18:35:40Z,9.7,1,2,d.3,2022-02-09T18:35:46Z
WP-7,0,3,10,20,1,2022-02-09T18:36:02Z,8.9,1,2,d.1,2022-02-09T18:36:05Z
WP-7,0,3,10,20,1,2022-02-09T18:36:02Z,8.9,1,2,d.2,2022-02-09T18:36:07Z
WP-7,0,3,10,20,1,2022-02-09T18:36:02Z,8.9,1,2,d.3,2022-02-09T18:36:08Z
WP-7,0,3,10,20,2,2022-02-09T18:36:25Z,9.6,1,2,d.1,2022-02-09T18:36:29Z
WP-7,0,3,10,20,2,2022-02-09T18:36:25Z,9.6,1,2,d.2,2022-02-09T18:36:30Z
WP-7,0,3,10,20,2,2022-02-09T18:36:25Z,9.6,1,2,d.3,2022-02-09T18:36:31Z
WP-7,0,3,10,20,2,2022-02-09T18:36:25Z,9.6,1,2,d.4,2022-02-09T18:36:32Z
WP-7,0,3,10,20,1,2022-02-09T18:36:49Z,9.7,1,2,d.1,2022-02-09T18:36:53Z
WP-7,0,3,10,20,1,2022-02-09T18:36:49Z,9.7,1,2,d.2,2022-02-09T18:36:54Z
WP-7,0,3,10,20,1,2022-02-09T18:36:49Z,9.7,1,2,d.3,2022-02-09T18:36:55Z
WP-7,0,3,10,20,2,2022-02-09T18:37:13Z,8.8,1,2,d.1,2022-02-09T18:37:17Z
WP-7,0,3,10,20,2,2022-02-09T18:37:13Z,8.8,1,2,d.2,2022-02-09T18:37:18Z
WP-7,0,3,10,20,2,2022-02-09T18:37:13Z,8.8,1,2,d.3,2022-02-09T18:37:19Z
WP-7,0,3,10,20,2,2022-02-09T18:37:13Z,8.8,1,2,d.4,2022-02-09T18:37:20Z
WP-7,0,3,12,20,1,2022-02-09T18:38:19Z,7.8,1,3,d.1,2022-02-09T18:38:22Z
WP-7,0,3,12,20,1,2022-02-09T18:38:19Z,7.8,1,3,d.2,2022-02-09T18:38:23Z
WP-7,0,3,12,20,1,2022-02-09T18:38:19Z,7.8,1,3,d.3,2022-02-09T18:38:24Z
WP-7,0,3,12,20,2,2022-02-09T18:38:44Z,9.4,1,2,d.1,2022-02-09T18:38:49Z
WP-7,0,3,12,20,2,2022-02-09T18:38:44Z,9.4,1,2,d.2,2022-02-09T18:38:50Z
WP-7,0,3,12,20,2,2022-02-09T18:38:44Z,9.4,1,2,d.3,2022-02-09T18:38:51Z
WP-7,0,3,12,20,1,2022-02-09T18:39:09Z,10.1,1,2,d.1,2022-02-09T18:39:13Z
