unique_id,detection_datetime,seconds_in,run_dist,x_distance,velocity,grid_dist,detection,brand,cover,canopy,shrub,temp
RM-8-5,2022-03-22T13:25:07Z,7,20,12,2,2,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:26:07Z,7,20,12,2,1,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:26:09Z,9,20,12,2,4,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:28:07Z,7,20,12,2,2,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:28:09Z,9,20,12,2,5,1,cudde,65.28,89.5,93.5,4
RM-8-9,2022-03-22T14:45:06Z,6,20,3,2,1,1,reconyx,48.61,91.25,55.5,4
RM-8-9,2022-03-22T14:46:07Z,7,20,3,2,2,1,reconyx,48.61,91.25,55.5,4
RM-8-9,2022-03-22T14:47:06Z,6,20,3,2,0,1,reconyx,48.61,91.25,55.5,4
RM-8-9,2022-03-22T14:48:06Z,6,20,3,2,1,1,reconyx,48.61,91.25,55.5,4
RM-8-9,2022-03-22T14:49:06Z,6,20,3,2,1,1,reconyx,48.61,91.25,55.5,4
RM-8-9,2022-03-22T14:50:06Z,6,20,3,2,0,1,reconyx,48.61,91.25,55.5,4
RM-8-9,2022-03-22T14:52:06Z,6,20,5,2,1,1,reconyx,48.61,91.25,55.5,4
RM-8-9,2022-03-22T14:54:07Z,7,20,5,2,4,1,reconyx,48.61,91.25,55.5,4
RM-8-9,2022-03-22T14:56:06Z,6,20,5,2,1,1,reconyx,48.61,91.25,55.5,4
RM-8-4,2022-03-22T17:10:09Z,9,20,3,1,3,1,cudde,83.33,0,37.5,4
RM-8-4,2022-03-22T17:11:06Z,6,20,3,1,-1,1,cudde,83.33,0,37.5,4
RM-8-4,2022-03-22T17:12:08Z,8,20,3,2,2,1,cudde,83.33,0,37.5,4
RM-8-4,2022-03-22T17:13:06Z,6,20,3,2,0,1,cudde,83.33,0,37.5,4
RM-8-4,2022-03-22T17:14:08Z,8,20,3,1,1,1,cudde,83.33,0,37.5,4
RM-8-4,2022-03-22T17:15:06Z,6,20,3,2,1,1,cudde,83.33,0,37.5,4
RM-8-4,2022-03-22T17:16:06Z,6,20,5,2,1,1,cudde,83.33,0,37.5,4
RM-8-4,2022-03-22T17:16:08Z,8,20,5,2,5,1,cudde,83.33,0,37.5,4
RM-8-4,2022-03-22T17:17:06Z,6,20,5,2,2,1,cudde,83.33,0,37.5,4
RM-8-4,2022-03-22T17:18:06Z,6,20,5,2,1,1,cudde,83.33,0,37.5,4
RM-8-4,2022-03-22T17:19:06Z,6,20,5,2,1,1,cudde,83.33,0,37.5,4
RM-8-4,2022-03-22T17:20:06Z,6,20,5,2,2,1,cudde,83.33,0,37.5,4
RM-8-4,2022-03-22T17:20:08Z,8,20,5,2,6,1,cudde,83.33,0,37.5,4
RM-8-4,2022-03-22T17:21:05Z,5,20,5,2,0,1,cudde,83.33,0,37.5,4
RM-8-4,2022-03-22T17:22:07Z,7,20,10,2,2,1,cudde,83.33,0,37.5,4
RM-8-4,2022-03-22T17:22:11Z,11,20,10,2,8,1,cudde,83.33,0,37.5,4
RM-8-4,2022-03-22T17:23:05Z,5,20,10,2,-2,1,cudde,83.33,0,37.5,4
RM-8-4,2022-03-22T17:23:09Z,9,20,10,2,5,1,cudde,83.33,0,37.5,4
RM-8-4,2022-03-22T17:24:07Z,7,20,10,2,2,1,cudde,83.33,0,37.5,4
RM-8-4,2022-03-22T17:24:09Z,9,20,10,2,5,1,cudde,83.33,0,37.5,4
RM-8-4,2022-03-22T17:25:07Z,7,20,10,2,2,1,cudde,83.33,0,37.5,4
RM-8-4,2022-03-22T17:25:09Z,9,20,10,2,5,1,cudde,83.33,0,37.5,4
RM-8-4,2022-03-22T17:26:07Z,7,20,10,2,3,1,cudde,83.33,0,37.5,4
RM-8-4,2022-03-22T17:26:09Z,9,20,10,2,6,1,cudde,83.33,0,37.5,4
RM-8-4,2022-03-22T17:27:05Z,5,20,10,2,-1,1,cudde,83.33,0,37.5,4
RM-8-4,2022-03-22T17:27:07Z,7,20,10,2,3,1,cudde,83.33,0,37.5,4
RM-8-4,2022-03-22T17:32:07Z,7,20,12,2,4,1,cudde,83.33,0,37.5,4
RM-8-4,2022-03-22T17:32:09Z,9,20,12,2,8,1,cudde,83.33,0,37.5,4
RM-8-4,2022-03-22T17:33:07Z,7,20,12,2,3,1,cudde,83.33,0,37.5,4
RM-8-4,2022-03-22T17:33:09Z,9,20,12,2,6,1,cudde,83.33,0,37.5,4
RM-14-5,2022-03-25T12:24:07Z,7,20,3,2,4,1,cudde,88.89,90.25,52,0
RM-14-5,2022-03-25T12:26:07Z,7,20,3,2,4,1,cudde,88.89,90.25,52,0
RM-14-5,2022-03-25T12:27:07Z,7,20,3,2,4,1,cudde,88.89,90.25,52,0
RM-14-5,2022-03-25T12:28:07Z,7,20,3,2,3,1,cudde,88.89,90.25,52,0
RM-14-5,2022-03-25T12:29:07Z,7,20,3,2,4,1,cudde,88.89,90.25,52,0
RM-14-5,2022-03-25T12:30:04Z,4,20,5,2,-1,1,cudde,88.89,90.25,52,0
RM-14-5,2022-03-25T12:31:06Z,6,20,5,2,3,1,cudde,88.89,90.25,52,0
RM-14-5,2022-03-25T12:32:06Z,6,20,5,2,2,1,cudde,88.89,90.25,52,0
RM-14-5,2022-03-25T12:33:06Z,6,20,5,2,2,1,cudde,88.89,90.25,52,0
RM-14-5,2022-03-25T12:34:06Z,6,20,5,2,2,1,cudde,88.89,90.25,52,0
RM-14-5,2022-03-25T12:35:06Z,6,20,5,2,2,1,cudde,88.89,90.25,52,0
RM-14-5,2022-03-25T12:38:06Z,6,20,10,2,0,1,cudde,88.89,90.25,52,0
RM-14-5,2022-03-25T12:41:08Z,8,20,10,2,5,1,cudde,88.89,90.25,52,0
RM-14-9,2022-03-25T13:10:09Z,9,20,3,2,6,1,reconyx,75,93.5,31,0
RM-14-9,2022-03-25T13:11:09Z,9,20,3,2,6,1,reconyx,75,93.5,31,0
