unique_id,detection.x,detection_datetime,seconds_in,x_distance,duration,velocity,grid_dist,tod,sensitivity,num_photos
S12141940,1,2022-08-05T01:57:15Z,5,15,10,2,10,0,3,2
S12141940,1,2022-08-05T01:57:16Z,6,15,10,2,12,0,3,2
S12141940,1,2022-08-05T01:57:17Z,7,15,10,2,14,0,3,2
S12141940,1,2022-08-05T01:57:31Z,5,15,10,2,10,0,3,2
S12141940,1,2022-08-05T01:57:32Z,6,15,10,2,12,0,3,2
S12141940,1,2022-08-05T01:57:33Z,7,15,10,2,14,0,3,2
S12141940,1,2022-08-05T01:57:34Z,8,15,10,2,16,0,3,2
S12141940,1,2022-08-05T01:57:35Z,9,15,10,2,18,0,3,2
S12141940,1,2022-08-05T01:57:49Z,5,15,10,2,10,0,3,2
S12141940,1,2022-08-05T01:57:50Z,6,15,10,2,12,0,3,2
S12141940,1,2022-08-05T01:57:51Z,7,15,10,2,14,0,3,2
S12141940,1,2022-08-05T01:57:52Z,8,15,10,2,16,0,3,2
S12141940,1,2022-08-05T01:58:31Z,3,20,11,1.8181818181818181,5.454545454545454,0,3,2
S12141940,1,2022-08-05T01:58:32Z,4,20,11,1.8181818181818181,7.2727272727272725,0,3,2
S12141940,1,2022-08-05T01:58:33Z,5,20,11,1.8181818181818181,9.09090909090909,0,3,2
S12141940,1,2022-08-05T01:58:34Z,6,20,11,1.8181818181818181,10.909090909090908,0,3,2
S12141940,1,2022-08-05T01:58:35Z,7,20,11,1.8181818181818181,12.727272727272727,0,3,2
S12141940,1,2022-08-05T01:58:36Z,8,20,11,1.8181818181818181,14.545454545454545,0,3,2
S12141940,1,2022-08-05T01:58:50Z,3,20,10,2,6,0,3,2
S12141940,1,2022-08-05T01:58:51Z,4,20,10,2,8,0,3,2
S12141940,1,2022-08-05T01:58:52Z,5,20,10,2,10,0,3,2
S12141940,1,2022-08-05T01:58:53Z,6,20,10,2,12,0,3,2
S12141940,1,2022-08-05T01:58:54Z,7,20,10,2,14,0,3,2
S12141940,1,2022-08-05T01:58:55Z,8,20,10,2,16,0,3,2
S12141940,1,2022-08-05T01:59:08Z,3,20,11,1.8181818181818181,5.454545454545454,0,3,2
S12141940,1,2022-08-05T01:59:09Z,4,20,11,1.8181818181818181,7.2727272727272725,0,3,2
S12141940,1,2022-08-05T01:59:10Z,5,20,11,1.8181818181818181,9.09090909090909,0,3,2
S12141940,1,2022-08-05T01:59:11Z,6,20,11,1.8181818181818181,10.909090909090908,0,3,2
S12141940,1,2022-08-05T01:59:13Z,8,20,11,1.8181818181818181,14.545454545454545,0,3,2
S12141940,1,2022-08-05T01:59:14Z,9,20,11,1.8181818181818181,16.363636363636363,0,3,2
S10132834,1,2022-08-05T01:04:21Z,5,3,10,2,10,0,3,2
S10132834,1,2022-08-05T01:04:40Z,5,3,9,2.2222222222222223,11.11111111111111,0,3,2
S10132834,1,2022-08-05T01:04:55Z,5,3,10,2,10,0,3,2
S10132834,1,2022-08-05T01:05:11Z,5,3,10,2,10,0,3,2
S10132834,1,2022-08-05T01:05:45Z,5,5,10,2,10,0,3,2
S10132834,1,2022-08-05T01:06:17Z,4,5,10,2,8,0,3,2
S10132834,1,2022-08-05T01:06:50Z,6,5,10,2,12,0,3,2
S10132834,1,2022-08-05T01:07:06Z,5,5,10,2,10,0,3,2
S10132834,1,2022-08-05T01:07:25Z,5,10,10,2,10,0,3,2
S10132834,1,2022-08-05T01:07:26Z,6,10,10,2,12,0,3,2
S10132834,1,2022-08-05T01:07:27Z,7,10,10,2,14,0,3,2
S10132834,1,2022-08-05T01:07:40Z,3,10,10,2,6,0,3,2
S10132834,1,2022-08-05T01:07:41Z,4,10,10,2,8,0,3,2
S10132834,1,2022-08-05T01:07:42Z,5,10,10,2,10,0,3,2
S10132834,1,2022-08-05T01:07:43Z,6,10,10,2,12,0,3,2
S10132834,1,2022-08-05T01:07:56Z,3,10,10,2,6,0,3,2
S10132834,1,2022-08-05T01:07:57Z,4,10,10,2,8,0,3,2
S10132834,1,2022-08-05T01:07:58Z,5,10,10,2,10,0,3,2
S10132834,1,2022-08-05T01:07:59Z,6,10,10,2,12,0,3,2
S10132834,1,2022-08-05T01:08:12Z,4,10,10,2,8,0,3,2
S10132834,1,2022-08-05T01:08:13Z,5,10,10,2,10,0,3,2
S10132834,1,2022-08-05T01:08:14Z,6,10,10,2,12,0,3,2
S10132834,1,2022-08-05T01:08:28Z,4,10,10,2,8,0,3,2
S10132834,1,2022-08-05T01:08:29Z,5,10,10,2,10,0,3,2
S10132834,1,2022-08-05T01:08:30Z,6,10,10,2,12,0,3,2
S10132834,1,2022-08-05T01:08:31Z,7,10,10,2,14,0,3,2
S10132834,1,2022-08-05T01:08:44Z,4,10,10,2,8,0,3,2
S10132834,1,2022-08-05T01:08:45Z,5,10,10,2,10,0,3,2
S10132834,1,2022-08-05T01:08:46Z,6,10,10,2,12,0,3,2
S10132834,1,2022-08-05T01:08:47Z,7,10,10,2,14,0,3,2
S10132834,1,2022-08-05T01:09:04Z,4,12,9,2.2222222222222223,8.88888888888889,0,3,2
S10132834,1,2022-08-05T01:09:05Z,5,12,9,2.2222222222222223,11.11111111111111,0,3,2
S10132834,1,2022-08-05T01:09:06Z,6,12,9,2.2222222222222223,13.333333333333334,0,3,2
S10132834,1,2022-08-05T01:09:07Z,7,12,9,2.2222222222222223,15.555555555555557,0,3,2
S10132834,1,2022-08-05T01:09:22Z,4,12,10,2,8,0,3,2
S10132834,1,2022-08-05T01:09:23Z,5,12,10,2,10,0,3,2
S10132834,1,2022-08-05T01:09:24Z,6,12,10,2,12,0,3,2
S10132834,1,2022-08-05T01:09:25Z,7,12,10,2,14,0,3,2
S10132834,1,2022-08-05T01:09:40Z,3,12,10,2,6,0,3,2
S10132834,1,2022-08-05T01:09:41Z,4,12,10,2,8,0,3,2
S10132834,1,2022-08-05T01:09:42Z,5,12,10,2,10,0,3,2
S10132834,1,2022-08-05T01:09:43Z,6,12,10,2,12,0,3,2
S10132834,1,2022-08-05T01:09:57Z,4,12,10,2,8,0,3,2
S10132834,1,2022-08-05T01:09:58Z,5,12,10,2,10,0,3,2
S10132834,1,2022-08-05T01:09:59Z,6,12,10,2,12,0,3,2
S10132834,1,2022-08-05T01:10:00Z,7,12,10,2,14,0,3,2
S10132834,1,2022-08-05T01:10:15Z,5,12,10,2,10,0,3,2
S10132834,1,2022-08-05T01:10:16Z,6,12,10,2,12,0,3,2
S10132834,1,2022-08-05T01:10:17Z,7,12,10,2,14,0,3,2
S10132834,1,2022-08-05T01:10:18Z,8,12,10,2,16,0,3,2
S10132834,1,2022-08-05T01:10:31Z,5,12,10,2,10,0,3,2
S10132834,1,2022-08-05T01:10:32Z,6,12,10,2,12,0,3,2
S10132834,1,2022-08-05T01:10:33Z,7,12,10,2,14,0,3,2
S10132834,1,2022-08-05T01:10:34Z,8,12,10,2,16,0,3,2
S10132834,1,2022-08-05T01:10:50Z,5,15,10,2,10,0,3,2
S10132834,1,2022-08-05T01:10:51Z,6,15,10,2,12,0,3,2
S10132834,1,2022-08-05T01:10:52Z,7,15,10,2,14,0,3,2
S10132834,1,2022-08-05T01:10:53Z,8,15,10,2,16,0,3,2
S10132834,1,2022-08-05T01:11:06Z,4,15,10,2,8,0,3,2
S10132834,1,2022-08-05T01:11:07Z,5,15,10,2,10,0,3,2
S10132834,1,2022-08-05T01:11:08Z,6,15,10,2,12,0,3,2
S10132834,1,2022-08-05T01:11:09Z,7,15,10,2,14,0,3,2
S10132834,1,2022-08-05T01:11:23Z,3,15,10,2,6,0,3,2
S10132834,1,2022-08-05T01:11:24Z,4,15,10,2,8,0,3,2
S10132834,1,2022-08-05T01:11:25Z,5,15,10,2,10,0,3,2
S10132834,1,2022-08-05T01:11:26Z,6,15,10,2,12,0,3,2
S10132834,1,2022-08-05T01:11:27Z,7,15,10,2,14,0,3,2
S10132834,1,2022-08-05T01:11:39Z,5,15,10,2,10,0,3,2
S10132834,1,2022-08-05T01:11:40Z,6,15,10,2,12,0,3,2
S10132834,1,2022-08-05T01:11:41Z,7,15,10,2,14,0,3,2
S10132834,1,2022-08-05T01:11:42Z,8,15,10,2,16,0,3,2
S10132834,1,2022-08-05T01:11:55Z,4,15,10,2,8,0,3,2
S10132834,1,2022-08-05T01:11:56Z,5,15,10,2,10,0,3,2
S10132834,1,2022-08-05T01:11:57Z,6,15,10,2,12,0,3,2
S10132834,1,2022-08-05T01:11:58Z,7,15,10,2,14,0,3,2
S10132834,1,2022-08-05T01:12:11Z,3,15,10,2,6,0,3,2
S10132834,1,2022-08-05T01:12:12Z,4,15,10,2,8,0,3,2
S10132834,1,2022-08-05T01:12:13Z,5,15,10,2,10,0,3,2
S10132834,1,2022-08-05T01:12:14Z,6,15,10,2,12,0,3,2
S10132834,1,2022-08-05T01:12:36Z,5,20,10,2,10,0,3,2
S10132834,1,2022-08-05T01:12:37Z,6,20,10,2,12,0,3,2
S10132834,1,2022-08-05T01:13:08Z,3,20,10,2,6,0,3,2
S10132834,1,2022-08-05T01:13:09Z,4,20,10,2,8,0,3,2
S10132834,1,2022-08-05T01:13:43Z,4,20,10,2,8,0,3,2
S10132834,1,2022-08-05T01:13:44Z,5,20,10,2,10,0,3,2
S12140712,1,2022-08-05T00:48:55Z,7,3,10,2,14,0,3,2
S12140712,1,2022-08-05T00:51:12Z,4,5,10,2,8,0,3,2
S12140712,1,2022-08-05T00:51:13Z,5,5,10,2,10,0,3,2
S12140712,1,2022-08-05T00:51:28Z,5,5,10,2,10,0,3,2
S12140712,1,2022-08-05T00:51:44Z,4,5,11,1.8181818181818181,7.2727272727272725,0,3,2
S12140712,1,2022-08-05T00:52:02Z,6,5,11,1.8181818181818181,10.909090909090908,0,3,2
S12140712,1,2022-08-05T00:52:03Z,7,5,11,1.8181818181818181,12.727272727272727,0,3,2
S12140712,1,2022-08-05T00:52:20Z,6,5,10,2,12,0,3,2
S12140712,1,2022-08-05T00:52:54Z,4,10,10,2,8,0,3,2
S12140712,1,2022-08-05T00:52:55Z,5,10,10,2,10,0,3,2
S12140712,1,2022-08-05T00:53:10Z,5,10,10,2,10,0,3,2
S12140712,1,2022-08-05T00:53:11Z,6,10,10,2,12,0,3,2
S12140712,1,2022-08-05T00:53:12Z,7,10,10,2,14,0,3,2
S12140712,1,2022-08-05T00:53:27Z,5,10,11,1.8181818181818181,9.09090909090909,0,3,2
S12140712,1,2022-08-05T00:53:28Z,6,10,11,1.8181818181818181,10.909090909090908,0,3,2
S12140712,1,2022-08-05T00:53:29Z,7,10,11,1.8181818181818181,12.727272727272727,0,3,2
