unique_id.x,brand,Transect distance,seconds,start_dec,DateTimeOriginal,name,value
PP-2,Reconyx,5,10,1,2022-08-05T01:07:01Z,two,2022-08-05T01:07:06Z
PP-2,Reconyx,10,10,1,2022-08-05T01:07:20Z,two,2022-08-05T01:07:25Z
PP-2,Reconyx,10,10,1,2022-08-05T01:07:20Z,three,2022-08-05T01:07:27Z
PP-2,Reconyx,10,10,1,2022-08-05T01:07:37Z,two,2022-08-05T01:07:40Z
PP-2,Reconyx,10,10,1,2022-08-05T01:07:37Z,three,2022-08-05T01:07:42Z
PP-2,Reconyx,10,10,1,2022-08-05T01:07:53Z,two,2022-08-05T01:07:56Z
PP-2,Reconyx,10,10,1,2022-08-05T01:07:53Z,three,2022-08-05T01:07:58Z
PP-2,Reconyx,10,10,1,2022-08-05T01:08:08Z,two,2022-08-05T01:08:12Z
PP-2,Reconyx,10,10,1,2022-08-05T01:08:08Z,three,2022-08-05T01:08:14Z
PP-2,Reconyx,10,10,1,2022-08-05T01:08:24Z,two,2022-08-05T01:08:28Z
PP-2,Reconyx,10,10,1,2022-08-05T01:08:24Z,three,2022-08-05T01:08:30Z
PP-2,Reconyx,10,10,1,2022-08-05T01:08:40Z,two,2022-08-05T01:08:44Z
PP-2,Reconyx,10,10,1,2022-08-05T01:08:40Z,three,2022-08-05T01:08:46Z
PP-2,Reconyx,12,9,1,2022-08-05T01:09:00Z,two,2022-08-05T01:09:04Z
PP-2,Reconyx,12,9,1,2022-08-05T01:09:00Z,three,2022-08-05T01:09:06Z
PP-2,Reconyx,12,10,1,2022-08-05T01:09:18Z,two,2022-08-05T01:09:22Z
PP-2,Reconyx,12,10,1,2022-08-05T01:09:18Z,three,2022-08-05T01:09:24Z
PP-2,Reconyx,12,10,1,2022-08-05T01:09:37Z,two,2022-08-05T01:09:40Z
PP-2,Reconyx,12,10,1,2022-08-05T01:09:37Z,three,2022-08-05T01:09:42Z
PP-2,Reconyx,12,10,1,2022-08-05T01:09:53Z,two,2022-08-05T01:09:57Z
PP-2,Reconyx,12,10,1,2022-08-05T01:09:53Z,three,2022-08-05T01:09:59Z
PP-2,Reconyx,12,10,1,2022-08-05T01:10:10Z,two,2022-08-05T01:10:15Z
PP-2,Reconyx,12,10,1,2022-08-05T01:10:10Z,three,2022-08-05T01:10:17Z
PP-2,Reconyx,12,10,1,2022-08-05T01:10:26Z,two,2022-08-05T01:10:31Z
