Unique.ID,Transect distance,Run distance,direction,DateTimeStart,Duration,Decection,s1,s2,s3,s4,velocity,distance1,distance2,distance3,distance4,name,value
RM-8-8,15,20,2,2022-10-25T12:43:05Z,12,1,3,NA,NA,NA,1.6666666666666667,15,NA,NA,NA,D1,2022-10-25T12:43:08Z
RM-8-8,15,20,1,2022-10-25T12:43:26Z,12,1,4,NA,NA,NA,1.6666666666666667,6.666666666666667,NA,NA,NA,D1,2022-10-25T12:43:30Z
RM-8-8,20,20,1,2022-10-25T12:44:32Z,13,1,5,NA,NA,NA,1.5384615384615385,7.6923076923076925,NA,NA,NA,D1,2022-10-25T12:44:37Z
RM-8-8,20,20,1,2022-10-25T14:46:20Z,13,1,5,8,NA,NA,1.5384615384615385,7.6923076923076925,12.307692307692308,NA,NA,D1,2022-10-25T14:46:25Z
RM-8-8,20,20,1,2022-10-25T14:46:20Z,13,1,5,8,NA,NA,1.5384615384615385,7.6923076923076925,12.307692307692308,NA,NA,D2,2022-10-25T14:46:28Z
RM-8-8,20,20,2,2022-10-25T12:46:45Z,13,1,8,NA,NA,NA,1.5384615384615385,7.692307692307692,NA,NA,NA,D1,2022-10-25T12:46:53Z
RM-8-1,3,15,1,2022-10-25T13:42:55Z,8,1,6,NA,NA,NA,1.875,11.25,NA,NA,NA,D1,2022-10-25T13:43:01Z
RM-8-1,3,15,1,2022-10-25T13:43:35Z,8,1,6,NA,NA,NA,1.875,11.25,NA,NA,NA,D1,2022-10-25T13:43:41Z
RM-8-1,3,15,2,2022-10-25T13:43:56Z,8,1,3,NA,NA,NA,1.875,14.375,NA,NA,NA,D1,2022-10-25T13:43:59Z
RM-8-1,3,15,1,2022-10-25T13:44:11Z,9,1,5,NA,NA,NA,1.6666666666666667,8.333333333333334,NA,NA,NA,D1,2022-10-25T13:44:16Z
RM-8-1,3,15,2,2022-10-25T13:44:30Z,8,1,3,NA,NA,NA,1.875,14.375,NA,NA,NA,D1,2022-10-25T13:44:33Z
