unique_id,detection_datetime,seconds_in,run_dist.y,x_distance.y,duration.y,velocity.y,grid_dist,detection,brand
RM-8-5,2022-03-22T13:26:07Z,7,20,12,13,1.5384615384615385,10.76923076923077,1,cudde
RM-8-5,2022-03-22T13:26:09Z,9,20,12,13,1.5384615384615385,13.846153846153847,1,cudde
RM-8-5,2022-03-22T13:28:07Z,7,20,12,12,1.6666666666666667,11.666666666666668,1,cudde
RM-8-5,2022-03-22T13:28:09Z,9,20,12,12,1.6666666666666667,15,1,cudde
RM-8-9,2022-03-22T14:45:06Z,6,20,3,11,1.8181818181818181,10.909090909090908,1,reconyx
RM-8-9,2022-03-22T14:46:07Z,7,20,3,12,1.6666666666666667,11.666666666666668,1,reconyx
RM-8-9,2022-03-22T14:47:06Z,6,20,3,12,1.6666666666666667,10,1,reconyx
RM-8-9,2022-03-22T14:48:06Z,6,20,3,11,1.8181818181818181,10.909090909090908,1,reconyx
RM-8-9,2022-03-22T14:49:06Z,6,20,3,11,1.8181818181818181,10.909090909090908,1,reconyx
RM-8-9,2022-03-22T14:50:06Z,6,20,3,12,1.6666666666666667,10,1,reconyx
RM-8-9,2022-03-22T14:52:06Z,6,20,5,11,1.8181818181818181,10.909090909090908,1,reconyx
RM-8-9,2022-03-22T14:54:07Z,7,20,5,10,2,14,1,reconyx
RM-8-9,2022-03-22T14:56:06Z,6,20,5,11,1.8181818181818181,10.909090909090908,1,reconyx
RM-8-4,2022-03-22T17:10:09Z,9,20,3,14,1.4285714285714286,12.857142857142858,1,cudde
RM-8-4,2022-03-22T17:11:06Z,6,20,3,14,1.4285714285714286,8.571428571428571,1,cudde
RM-8-4,2022-03-22T17:12:08Z,8,20,3,13,1.5384615384615385,12.307692307692308,1,cudde
RM-8-4,2022-03-22T17:13:06Z,6,20,3,12,1.6666666666666667,10,1,cudde
RM-8-4,2022-03-22T17:14:08Z,8,20,3,14,1.4285714285714286,11.428571428571429,1,cudde
RM-8-4,2022-03-22T17:15:06Z,6,20,3,11,1.8181818181818181,10.909090909090908,1,cudde
RM-8-4,2022-03-22T17:16:06Z,6,20,5,11,1.8181818181818181,10.909090909090908,1,cudde
RM-8-4,2022-03-22T17:16:08Z,8,20,5,11,1.8181818181818181,14.545454545454545,1,cudde
RM-8-4,2022-03-22T17:17:06Z,6,20,5,10,2,12,1,cudde
RM-8-4,2022-03-22T17:18:06Z,6,20,5,11,1.8181818181818181,10.909090909090908,1,cudde
RM-8-4,2022-03-22T17:19:06Z,6,20,5,11,1.8181818181818181,10.909090909090908,1,cudde
RM-8-4,2022-03-22T17:20:06Z,6,20,5,10,2,12,1,cudde
RM-8-4,2022-03-22T17:20:08Z,8,20,5,10,2,16,1,cudde
RM-8-4,2022-03-22T17:21:05Z,5,20,5,10,2,10,1,cudde
RM-8-4,2022-03-22T17:22:07Z,7,20,10,12,1.6666666666666667,11.666666666666668,1,cudde
RM-8-4,2022-03-22T17:22:11Z,11,20,10,12,1.6666666666666667,18.333333333333336,1,cudde
RM-8-4,2022-03-22T17:23:05Z,5,20,10,12,1.6666666666666667,8.333333333333334,1,cudde
RM-8-4,2022-03-22T17:23:09Z,9,20,10,12,1.6666666666666667,15,1,cudde
RM-8-4,2022-03-22T17:24:07Z,7,20,10,12,1.6666666666666667,11.666666666666668,1,cudde
RM-8-4,2022-03-22T17:24:09Z,9,20,10,12,1.6666666666666667,15,1,cudde
RM-8-4,2022-03-22T17:25:07Z,7,20,10,12,1.6666666666666667,11.666666666666668,1,cudde
RM-8-4,2022-03-22T17:25:09Z,9,20,10,12,1.6666666666666667,15,1,cudde
RM-8-4,2022-03-22T17:26:07Z,7,20,10,11,1.8181818181818181,12.727272727272727,1,cudde
RM-8-4,2022-03-22T17:26:09Z,9,20,10,11,1.8181818181818181,16.363636363636363,1,cudde
RM-8-4,2022-03-22T17:27:05Z,5,20,10,11,1.8181818181818181,9.09090909090909,1,cudde
RM-8-4,2022-03-22T17:27:07Z,7,20,10,11,1.8181818181818181,12.727272727272727,1,cudde
RM-8-4,2022-03-22T17:32:07Z,7,20,12,10,2,14,1,cudde
RM-8-4,2022-03-22T17:32:09Z,9,20,12,10,2,18,1,cudde
RM-8-4,2022-03-22T17:33:07Z,7,20,12,11,1.8181818181818181,12.727272727272727,1,cudde
RM-8-4,2022-03-22T17:33:09Z,9,20,12,11,1.8181818181818181,16.363636363636363,1,cudde
RM-14-5,2022-03-25T12:24:07Z,7,20,3,10,2,14,1,cudde
RM-14-5,2022-03-25T12:26:07Z,7,20,3,10,2,14,1,cudde
RM-14-5,2022-03-25T12:27:07Z,7,20,3,10,2,14,1,cudde
RM-14-5,2022-03-25T12:28:07Z,7,20,3,11,1.8181818181818181,12.727272727272727,1,cudde
RM-14-5,2022-03-25T12:29:07Z,7,20,3,10,2,14,1,cudde
RM-14-5,2022-03-25T12:30:04Z,4,20,5,9,2.2222222222222223,8.88888888888889,1,cudde
RM-14-5,2022-03-25T12:31:06Z,6,20,5,9,2.2222222222222223,13.333333333333334,1,cudde
RM-14-5,2022-03-25T12:32:06Z,6,20,5,10,2,12,1,cudde
RM-14-5,2022-03-25T12:33:06Z,6,20,5,10,2,12,1,cudde
RM-14-5,2022-03-25T12:34:06Z,6,20,5,10,2,12,1,cudde
RM-14-5,2022-03-25T12:35:06Z,6,20,5,10,2,12,1,cudde
RM-14-5,2022-03-25T12:38:06Z,6,20,10,12,1.6666666666666667,10,1,cudde
RM-14-5,2022-03-25T12:41:08Z,8,20,10,11,1.8181818181818181,14.545454545454545,1,cudde
RM-14-9,2022-03-25T13:10:09Z,9,20,3,11,1.8181818181818181,16.363636363636363,1,reconyx
RM-14-9,2022-03-25T13:11:09Z,9,20,3,11,1.8181818181818181,16.363636363636363,1,reconyx
RM-14-9,2022-03-25T13:12:09Z,9,20,3,11,1.8181818181818181,16.363636363636363,1,reconyx
RM-14-9,2022-03-25T13:13:08Z,8,20,3,11,1.8181818181818181,14.545454545454545,1,reconyx
RM-14-9,2022-03-25T13:14:09Z,9,20,3,11,1.8181818181818181,16.363636363636363,1,reconyx
RM-14-9,2022-03-25T13:15:08Z,8,20,5,12,1.6666666666666667,13.333333333333334,1,reconyx
RM-14-9,2022-03-25T13:16:08Z,8,20,5,11,1.8181818181818181,14.545454545454545,1,reconyx
RM-14-9,2022-03-25T13:17:08Z,8,20,5,11,1.8181818181818181,14.545454545454545,1,reconyx
RM-14-9,2022-03-25T13:18:08Z,8,20,5,10,2,16,1,reconyx
RM-14-9,2022-03-25T13:19:08Z,8,20,5,11,1.8181818181818181,14.545454545454545,1,reconyx
RM-14-9,2022-03-25T13:20:08Z,8,20,5,10,2,16,1,reconyx
RM-14-9,2022-03-25T13:21:08Z,8,20,10,12,1.6666666666666667,13.333333333333334,1,reconyx
RM-14-9,2022-03-25T13:22:07Z,7,20,10,12,1.6666666666666667,11.666666666666668,1,reconyx
RM-14-9,2022-03-25T13:22:10Z,10,20,10,12,1.6666666666666667,16.666666666666668,1,reconyx
RM-14-9,2022-03-25T13:23:08Z,8,20,10,11,1.8181818181818181,14.545454545454545,1,reconyx
RM-14-9,2022-03-25T13:24:06Z,6,20,10,11,1.8181818181818181,10.909090909090908,1,reconyx
RM-14-9,2022-03-25T13:25:08Z,8,20,10,11,1.8181818181818181,14.545454545454545,1,reconyx
RM-14-9,2022-03-25T13:26:06Z,6,20,10,11,1.8181818181818181,10.909090909090908,1,reconyx
RM-14-9,2022-03-25T13:26:10Z,10,20,10,11,1.8181818181818181,18.18181818181818,1,reconyx
RM-14-9,2022-03-25T13:27:07Z,7,20,12,11,1.8181818181818181,12.727272727272727,1,reconyx
RM-14-9,2022-03-25T13:27:10Z,10,20,12,11,1.8181818181818181,18.18181818181818,1,reconyx
RM-14-9,2022-03-25T13:28:06Z,6,20,12,11,1.8181818181818181,10.909090909090908,1,reconyx
RM-14-9,2022-03-25T13:28:10Z,10,20,12,11,1.8181818181818181,18.18181818181818,1,reconyx
RM-14-9,2022-03-25T13:29:07Z,7,20,12,10,2,14,1,reconyx
RM-14-9,2022-03-25T13:30:06Z,6,20,12,10,2,12,1,reconyx
RM-14-9,2022-03-25T13:30:09Z,9,20,12,10,2,18,1,reconyx
RM-14-9,2022-03-25T13:31:07Z,7,20,12,11,1.8181818181818181,12.727272727272727,1,reconyx
RM-14-9,2022-03-25T13:31:10Z,10,20,12,11,1.8181818181818181,18.18181818181818,1,reconyx
RM-14-9,2022-03-25T13:32:06Z,6,20,12,10,2,12,1,reconyx
RM-14-9,2022-03-25T13:32:09Z,9,20,12,10,2,18,1,reconyx
RM-14-9,2022-03-25T13:33:08Z,8,20,15,12,1.6666666666666667,13.333333333333334,1,reconyx
RM-14-9,2022-03-25T13:33:10Z,10,20,15,12,1.6666666666666667,16.666666666666668,1,reconyx
RM-14-9,2022-03-25T13:34:05Z,5,20,15,11,1.8181818181818181,9.09090909090909,1,reconyx
RM-14-9,2022-03-25T13:34:09Z,9,20,15,11,1.8181818181818181,16.363636363636363,1,reconyx
RM-14-9,2022-03-25T13:35:07Z,7,20,15,11,1.8181818181818181,12.727272727272727,1,reconyx
RM-14-9,2022-03-25T13:35:10Z,10,20,15,11,1.8181818181818181,18.18181818181818,1,reconyx
RM-14-9,2022-03-25T13:36:05Z,5,20,15,10,2,10,1,reconyx
RM-14-9,2022-03-25T13:36:08Z,8,20,15,10,2,16,1,reconyx
RM-14-9,2022-03-25T13:37:09Z,9,20,15,11,1.8181818181818181,16.363636363636363,1,reconyx
RM-14-9,2022-03-25T13:38:05Z,5,20,15,10,2,10,1,reconyx
RM-14-9,2022-03-25T13:38:08Z,8,20,15,10,2,16,1,reconyx
RM-14-9,2022-03-25T13:39:09Z,9,20,20,11,1.8181818181818181,16.363636363636363,1,reconyx
RM-14-9,2022-03-25T13:40:06Z,6,20,20,11,1.8181818181818181,10.909090909090908,1,reconyx
RM-14-9,2022-03-25T13:41:08Z,8,20,20,11,1.8181818181818181,14.545454545454545,1,reconyx
RM-14-9,2022-03-25T13:42:07Z,7,20,20,11,1.8181818181818181,12.727272727272727,1,reconyx
RM-14-9,2022-03-25T13:43:09Z,9,20,20,11,1.8181818181818181,16.363636363636363,1,reconyx
RM-14-9,2022-03-25T13:44:06Z,6,20,20,10,2,12,1,reconyx
RM-14-7,2022-03-25T15:26:07Z,7,20,3,9,2.2222222222222223,15.555555555555557,1,cudde
RM-14-7,2022-03-25T15:27:07Z,7,20,3,10,2,14,1,cudde
RM-14-7,2022-03-25T15:28:05Z,5,20,3,10,2,10,1,cudde
RM-14-7,2022-03-25T15:29:07Z,7,20,3,9,2.2222222222222223,15.555555555555557,1,cudde
RM-14-7,2022-03-25T15:31:05Z,5,20,3,9,2.2222222222222223,11.11111111111111,1,cudde
RM-14-7,2022-03-25T15:32:06Z,6,20,5,11,1.8181818181818181,10.909090909090908,1,cudde
RM-14-7,2022-03-25T15:32:08Z,8,20,5,11,1.8181818181818181,14.545454545454545,1,cudde
RM-14-7,2022-03-25T15:33:06Z,6,20,5,10,2,12,1,cudde
RM-14-7,2022-03-25T15:34:07Z,7,20,5,10,2,14,1,cudde
RM-14-7,2022-03-25T15:35:05Z,5,20,5,10,2,10,1,cudde
RM-14-7,2022-03-25T15:35:06Z,6,20,5,10,2,12,1,cudde
RM-14-7,2022-03-25T15:36:05Z,5,20,5,10,2,10,1,cudde
RM-14-7,2022-03-25T15:37:06Z,6,20,5,10,2,12,1,cudde
RM-14-7,2022-03-25T15:38:04Z,4,20,10,11,1.8181818181818181,7.2727272727272725,1,cudde
RM-14-7,2022-03-25T15:38:06Z,6,20,10,11,1.8181818181818181,10.909090909090908,1,cudde
RM-14-7,2022-03-25T15:39:06Z,6,20,10,9,2.2222222222222223,13.333333333333334,1,cudde
RM-14-7,2022-03-25T15:39:08Z,8,20,10,9,2.2222222222222223,17.77777777777778,1,cudde
RM-14-7,2022-03-25T15:40:04Z,4,20,10,10,2,8,1,cudde
RM-14-7,2022-03-25T15:40:06Z,6,20,10,10,2,12,1,cudde
RM-14-7,2022-03-25T15:41:07Z,7,20,10,9,2.2222222222222223,15.555555555555557,1,cudde
RM-14-7,2022-03-25T15:41:09Z,9,20,10,9,2.2222222222222223,20,1,cudde
RM-14-7,2022-03-25T15:42:04Z,4,20,10,11,1.8181818181818181,7.2727272727272725,1,cudde
RM-14-7,2022-03-25T15:42:06Z,6,20,10,11,1.8181818181818181,10.909090909090908,1,cudde
RM-14-7,2022-03-25T15:43:05Z,5,20,10,10,2,10,1,cudde
RM-14-7,2022-03-25T15:43:09Z,9,20,10,10,2,18,1,cudde
RM-14-7,2022-03-25T15:44:04Z,4,20,12,11,1.8181818181818181,7.2727272727272725,1,cudde
RM-14-7,2022-03-25T15:44:06Z,6,20,12,11,1.8181818181818181,10.909090909090908,1,cudde
RM-14-7,2022-03-25T15:45:06Z,6,20,12,11,1.8181818181818181,10.909090909090908,1,cudde
RM-14-7,2022-03-25T15:45:08Z,8,20,12,11,1.8181818181818181,14.545454545454545,1,cudde
RM-14-7,2022-03-25T15:46:02Z,2,20,12,11,1.8181818181818181,3.6363636363636362,1,cudde
RM-14-7,2022-03-25T15:46:04Z,4,20,12,11,1.8181818181818181,7.2727272727272725,1,cudde
RM-14-7,2022-03-25T15:46:06Z,6,20,12,11,1.8181818181818181,10.909090909090908,1,cudde
RM-14-7,2022-03-25T15:47:06Z,6,20,12,11,1.8181818181818181,10.909090909090908,1,cudde
RM-14-7,2022-03-25T15:47:08Z,8,20,12,11,1.8181818181818181,14.545454545454545,1,cudde
RM-14-7,2022-03-25T15:48:05Z,5,20,12,11,1.8181818181818181,9.09090909090909,1,cudde
RM-14-7,2022-03-25T15:48:07Z,7,20,12,11,1.8181818181818181,12.727272727272727,1,cudde
RM-14-7,2022-03-25T15:49:06Z,6,20,12,11,1.8181818181818181,10.909090909090908,1,cudde
RM-14-7,2022-03-25T15:49:08Z,8,20,12,11,1.8181818181818181,14.545454545454545,1,cudde
RM-14-7,2022-03-25T15:49:10Z,10,20,12,11,1.8181818181818181,18.18181818181818,1,cudde
RM-14-7,2022-03-25T15:50:05Z,5,20,15,12,1.6666666666666667,8.333333333333334,1,cudde
RM-14-7,2022-03-25T15:50:07Z,7,20,15,12,1.6666666666666667,11.666666666666668,1,cudde
RM-14-7,2022-03-25T15:50:09Z,9,20,15,12,1.6666666666666667,15,1,cudde
RM-14-7,2022-03-25T15:51:06Z,6,20,15,11,1.8181818181818181,10.909090909090908,1,cudde
