unique_id,num_photos,sensitivity,detection.x,detection_time,sec_in,x_distance,duration,velocity.y,y_dist,date
WP-7,2,4,1,2022-02-09T22:05:14Z,6,10,7,2.857142857142857,17.142857142857142,2022-02-09
WP-7,2,4,1,2022-02-09T22:05:44Z,4,10,10,2,8,2022-02-09
WP-7,2,4,1,2022-02-09T22:05:45Z,5,10,10,2,10,2022-02-09
WP-7,2,4,1,2022-02-09T22:05:46Z,6,10,10,2,12,2022-02-09
WP-7,2,4,1,2022-02-09T22:06:05Z,3,10,9,2.2222222222222223,6.666666666666667,2022-02-09
WP-7,2,4,1,2022-02-09T22:06:07Z,5,10,9,2.2222222222222223,11.11111111111111,2022-02-09
WP-7,2,4,1,2022-02-09T22:06:08Z,6,10,9,2.2222222222222223,13.333333333333334,2022-02-09
WP-7,2,4,1,2022-02-09T22:06:29Z,4,10,10,2,8,2022-02-09
WP-7,2,4,1,2022-02-09T22:06:30Z,5,10,10,2,10,2022-02-09
WP-7,2,4,1,2022-02-09T22:06:31Z,6,10,10,2,12,2022-02-09
WP-7,2,4,1,2022-02-09T22:06:32Z,7,10,10,2,14,2022-02-09
WP-7,2,4,1,2022-02-09T22:06:53Z,4,10,10,2,8,2022-02-09
WP-7,2,4,1,2022-02-09T22:06:54Z,5,10,10,2,10,2022-02-09
WP-7,2,4,1,2022-02-09T22:06:55Z,6,10,10,2,12,2022-02-09
WP-7,2,4,1,2022-02-09T22:07:17Z,4,10,9,2.2222222222222223,8.88888888888889,2022-02-09
WP-7,2,4,1,2022-02-09T22:07:18Z,5,10,9,2.2222222222222223,11.11111111111111,2022-02-09
WP-7,2,4,1,2022-02-09T22:07:19Z,6,10,9,2.2222222222222223,13.333333333333334,2022-02-09
WP-7,2,4,1,2022-02-09T22:07:20Z,7,10,9,2.2222222222222223,15.555555555555557,2022-02-09
WP-7,2,4,1,2022-02-09T22:08:22Z,3,12,8,2.5,7.5,2022-02-09
WP-7,2,4,1,2022-02-09T22:08:23Z,4,12,8,2.5,10,2022-02-09
WP-7,2,4,1,2022-02-09T22:08:24Z,5,12,8,2.5,12.5,2022-02-09
WP-7,2,4,1,2022-02-09T22:08:49Z,5,12,9,2.2222222222222223,11.11111111111111,2022-02-09
WP-7,2,4,1,2022-02-09T22:08:50Z,6,12,9,2.2222222222222223,13.333333333333334,2022-02-09
WP-7,2,4,1,2022-02-09T22:08:51Z,7,12,9,2.2222222222222223,15.555555555555557,2022-02-09
WP-7,2,4,1,2022-02-09T22:09:13Z,4,12,10,2,8,2022-02-09
WP-7,2,4,1,2022-02-09T22:09:14Z,5,12,10,2,10,2022-02-09
WP-7,2,4,1,2022-02-09T22:09:15Z,6,12,10,2,12,2022-02-09
WP-7,2,4,1,2022-02-09T22:09:16Z,7,12,10,2,14,2022-02-09
WP-7,2,4,1,2022-02-09T22:10:03Z,4,12,8,2.5,10,2022-02-09
WP-7,2,4,1,2022-02-09T22:10:04Z,5,12,8,2.5,12.5,2022-02-09
WP-7,2,4,1,2022-02-09T22:10:05Z,6,12,8,2.5,15,2022-02-09
WP-7,2,4,1,2022-02-09T22:10:28Z,4,12,9,2.2222222222222223,8.88888888888889,2022-02-09
WP-7,2,4,1,2022-02-09T22:10:29Z,5,12,9,2.2222222222222223,11.11111111111111,2022-02-09
WP-7,2,4,1,2022-02-09T22:10:30Z,6,12,9,2.2222222222222223,13.333333333333334,2022-02-09
WP-7,2,4,1,2022-02-09T22:10:57Z,3,12,8,2.5,7.5,2022-02-09
WP-7,2,4,1,2022-02-09T22:10:59Z,5,12,8,2.5,12.5,2022-02-09
WP-7,2,4,1,2022-02-09T22:11:00Z,6,12,8,2.5,15,2022-02-09
WP-7,2,4,1,2022-02-09T22:11:44Z,2,15,7,2.857142857142857,5.714285714285714,2022-02-09
WP-7,2,4,1,2022-02-09T22:11:45Z,3,15,7,2.857142857142857,8.571428571428571,2022-02-09
WP-7,2,4,1,2022-02-09T22:11:46Z,4,15,7,2.857142857142857,11.428571428571429,2022-02-09
WP-7,2,4,1,2022-02-09T22:11:47Z,5,15,7,2.857142857142857,14.285714285714286,2022-02-09
WP-7,2,4,1,2022-02-09T22:12:42Z,5,15,12,1.6666666666666667,8.333333333333334,2022-02-09
WP-7,2,4,1,2022-02-09T22:12:43Z,6,15,12,1.6666666666666667,10,2022-02-09
WP-7,2,4,1,2022-02-09T22:12:44Z,7,15,12,1.6666666666666667,11.666666666666668,2022-02-09
WP-7,2,4,1,2022-02-09T22:12:45Z,8,15,12,1.6666666666666667,13.333333333333334,2022-02-09
WP-7,2,4,1,2022-02-09T22:12:46Z,9,15,12,1.6666666666666667,15,2022-02-09
WP-7,2,4,1,2022-02-09T22:14:27Z,5,15,9,2.2222222222222223,11.11111111111111,2022-02-09
WP-7,2,4,1,2022-02-09T22:14:28Z,6,15,9,2.2222222222222223,13.333333333333334,2022-02-09
WP-7,2,4,1,2022-02-09T22:14:29Z,7,15,9,2.2222222222222223,15.555555555555557,2022-02-09
WP-7,2,4,1,2022-02-09T22:14:50Z,4,15,10,2,8,2022-02-09
WP-7,2,4,1,2022-02-09T22:14:51Z,5,15,10,2,10,2022-02-09
WP-7,2,4,1,2022-02-09T22:14:52Z,6,15,10,2,12,2022-02-09
WP-7,2,4,1,2022-02-09T22:14:53Z,7,15,10,2,14,2022-02-09
WP-7,2,4,1,2022-02-09T22:14:54Z,8,15,10,2,16,2022-02-09
WP-7,2,4,1,2022-02-09T22:15:13Z,4,15,8,2.5,10,2022-02-09
WP-7,2,4,1,2022-02-09T22:15:14Z,5,15,8,2.5,12.5,2022-02-09
WP-7,2,4,1,2022-02-09T22:15:15Z,6,15,8,2.5,15,2022-02-09
WP-7,2,4,1,2022-02-09T22:15:16Z,7,15,8,2.5,17.5,2022-02-09
WP-7,2,4,1,2022-02-09T22:15:41Z,5,15,9,2.2222222222222223,11.11111111111111,2022-02-09
WP-7,2,4,1,2022-02-09T22:15:42Z,6,15,9,2.2222222222222223,13.333333333333334,2022-02-09
